period,ln_x,se1,se2,ln_e,se3,se4,ln_r,se5,se6,ln_n,se7,se8,ln_y,se9,se10,ln_b,se11,se12
1,0.445145,1.115225,-0.224935,2.438244,2.895144,1.981344,0,0,0,0,0,0,0,0,0,0,0,0
2,0.938926,1.885706,-0.007854,1.884508,2.803068,0.965948,-0.220947,0.565193,-1.007087,-0.575111,0.185709,-1.335931,0.048379,0.822419,-0.725661,-0.704068,-0.053588,-1.354548
3,0.742704,1.895464,-0.410056,1.353039,2.540559,0.165519,-0.585164,0.546816,-1.717144,-1.213735,-0.183235,-2.244235,0.246513,1.279753,-0.786727,-0.876158,-0.049058,-1.703258
4,0.37113,1.68495,-0.94269,1.574142,2.928522,0.219762,-0.556467,0.676693,-1.789627,-1.284167,-0.110907,-2.457427,0.534196,1.752496,-0.684104,-0.671957,0.199123,-1.543037
5,0.094624,1.570364,-1.381116,1.349559,2.797799,-0.098681,-0.285843,1.038837,-1.610523,-1.170683,0.179177,-2.520543,0.742793,2.150533,-0.664947,-0.828191,0.212589,-1.868971
6,-0.112657,1.455403,-1.680717,1.144817,2.713977,-0.424343,-0.128641,1.264279,-1.521561,-0.932247,0.512073,-2.376567,0.75892,2.34698,-0.82914,-0.9773,0.21092,-2.16552
7,-0.270642,1.389998,-1.931282,1.278151,2.907871,-0.351569,0.02248,1.4651,-1.42014,-0.64149,0.85555,-2.13853,0.624044,2.331624,-1.083536,-0.959665,0.361595,-2.280925
8,-0.323144,1.444476,-2.090764,1.309043,3.041283,-0.423197,0.156997,1.683897,-1.369903,-0.434513,1.123687,-1.992713,0.446079,2.248579,-1.356421,-1.057071,0.379909,-2.494051
9,-0.383157,1.512943,-2.279257,1.1594,3.02332,-0.70452,0.234826,1.885626,-1.415974,-0.347541,1.297679,-1.992761,0.282351,2.184111,-1.619409,-1.189947,0.362493,-2.742387
10,-0.495156,1.543624,-2.533936,1.052962,3.083362,-0.977438,0.318094,2.122114,-1.485926,-0.311352,1.426128,-2.048832,0.15731,2.19335,-1.87873,-1.20858,0.46158,-2.87874
